Category,Country,Customer ID,Order Date,Product ID,Return Status,Review Rating,Shipping Method,Discount,Price,Profit,Quantity,Returned Quantity,Shipping Cost,Total Sales
Clothing,France,4363,7/14/23,88,No,5,Next Day,25.00%,$159.90 ,$324 ,9,0,$42.50 ,$1K
Clothing,France,4585,8/26/23,833,No,5,Next Day,17.00%,$309.30 ,$59 ,1,2,$38.20 ,$0K
Clothing,France,2766,7/3/23,778,No,5,Next Day,39.00%,$430.90 ,$447 ,8,3,$37.50 ,$2K
Clothing,Germany,6434,4/4/23,258,No,1,Next Day,39.00%,$267.40 ,$243 ,8,0,$10.80 ,$1K
Clothing,Germany,2010,12/13/23,611,No,1,Next Day,27.00%,$88.40 ,$34 ,4,1,$48.60 ,$0K
Clothing,Germany,1086,12/20/23,979,No,1,Next Day,20.00%,$497.10 ,$294 ,5,1,$31.20 ,$2K
Clothing,Germany,7479,12/5/23,696,No,1,Next Day,37.00%,$407.80 ,$333 ,10,1,$31.00 ,$3K
Clothing,Germany,4252,7/10/23,670,No,1,Next Day,34.00%,$443.00 ,$105 ,2,2,$21.30 ,$1K
Clothing,Germany,5791,7/1/23,473,No,1,Next Day,7.00%,$537.70 ,$766 ,7,3,$43.30 ,$4K
Clothing,Germany,1940,3/16/23,619,No,1,Next Day,34.00%,$770.10 ,$592 ,6,4,$15.60 ,$3K
Clothing,Germany,6414,8/25/23,866,No,2,Next Day,36.00%,$174.40 ,$165 ,7,0,$13.20 ,$1K
Clothing,Germany,3882,9/4/23,957,No,2,Next Day,37.00%,$352.40 ,$135 ,3,3,$6.00 ,$1K
Clothing,Germany,7320,2/12/23,20,No,2,Next Day,28.00%,$777.40 ,$151 ,1,5,$22.70 ,$1K
Clothing,Germany,3644,1/16/23,420,No,3,Next Day,21.00%,$344.70 ,$58 ,1,0,$36.90 ,$0K
Clothing,Germany,8441,5/4/23,157,No,3,Next Day,16.00%,$545.20 ,$659 ,7,3,$36.90 ,$3K
Clothing,Germany,5090,7/9/23,1000,No,3,Next Day,24.00%,$231.60 ,$92 ,2,4,$14.50 ,$0K
Clothing,Germany,8369,3/14/23,659,No,3,Next Day,40.00%,$391.10 ,$298 ,9,5,$3.90 ,$2K
Clothing,Germany,5373,7/15/23,793,No,4,Next Day,25.00%,$201.50 ,$76 ,2,2,$13.90 ,$0K
Clothing,Germany,1139,2/20/23,257,No,4,Next Day,37.00%,$64.00 ,$43 ,5,2,$20.10 ,$0K
Clothing,Germany,7976,11/3/23,418,No,5,Next Day,5.00%,$667.10 ,"$1,364 ",8,0,$26.80 ,$5K
Clothing,Germany,5280,8/27/23,978,No,5,Next Day,31.00%,$581.10 ,$90 ,2,2,$46.10 ,$1K
Clothing,Germany,2830,11/28/23,144,No,5,Next Day,21.00%,$237.80 ,$173 ,8,2,$9.10 ,$2K
Clothing,Germany,1297,8/12/23,977,No,5,Next Day,19.00%,$243.70 ,$106 ,4,5,$24.70 ,$1K
Clothing,UK,2638,5/21/23,397,No,1,Next Day,17.00%,$807.70 ,$311 ,4,0,$49.70 ,$3K
Clothing,UK,3836,3/27/23,130,No,1,Next Day,22.00%,$18.10 ,$19 ,7,3,$45.20 ,$0K
Clothing,UK,4652,7/3/23,900,No,1,Next Day,9.00%,$679.00 ,$248 ,3,4,$38.20 ,$2K
Clothing,UK,3097,3/26/23,623,No,2,Next Day,14.00%,$115.20 ,$286 ,10,1,$41.60 ,$1K
Clothing,UK,2375,8/12/23,215,No,2,Next Day,38.00%,$835.70 ,$108 ,2,3,$25.90 ,$1K
Clothing,UK,8606,10/16/23,424,No,2,Next Day,18.00%,$594.40 ,$854 ,7,4,$38.90 ,$3K
Clothing,UK,7176,12/2/23,51,No,3,Next Day,32.00%,$501.70 ,$443 ,8,3,$2.80 ,$3K
Clothing,UK,3427,9/26/23,119,No,3,Next Day,16.00%,$426.30 ,$568 ,7,5,$37.40 ,$3K
Clothing,UK,5628,10/11/23,483,No,4,Next Day,36.00%,$573.10 ,$647 ,8,0,$17.40 ,$3K
Clothing,UK,3208,1/12/23,748,No,4,Next Day,29.00%,$667.20 ,"$1,005 ",9,0,$5.70 ,$4K
Clothing,UK,4774,9/1/23,844,No,4,Next Day,9.00%,$178.90 ,$233 ,6,2,$34.80 ,$1K
Clothing,UK,5943,10/2/23,733,No,5,Next Day,12.00%,$35.80 ,$38 ,6,0,$28.60 ,$0K
Clothing,UK,2969,8/20/23,169,No,5,Next Day,31.00%,$293.40 ,$171 ,3,1,$13.80 ,$1K
Clothing,UK,5803,10/18/23,434,No,5,Next Day,8.00%,$801.70 ,"$1,020 ",5,1,$25.20 ,$4K
Clothing,UK,3362,4/14/23,23,No,5,Next Day,34.00%,$612.70 ,$339 ,6,1,$47.30 ,$2K
Clothing,UK,9101,6/15/23,61,No,5,Next Day,7.00%,$590.60 ,$219 ,2,2,$47.10 ,$1K
Clothing,UK,9320,1/19/23,600,No,5,Next Day,32.00%,$192.40 ,$113 ,3,3,$5.30 ,$0K
Clothing,UK,8845,12/10/23,810,No,5,Next Day,33.00%,$929.70 ,$327 ,2,4,$40.00 ,$1K
Clothing,UK,5945,7/4/23,569,No,5,Next Day,23.00%,$514.30 ,$432 ,6,4,$36.50 ,$2K
Clothing,UK,1818,7/15/23,354,No,5,Next Day,25.00%,$74.50 ,$96 ,10,4,$9.00 ,$1K
Clothing,UK,1933,9/3/23,341,No,5,Next Day,38.00%,$740.90 ,$812 ,7,5,$28.50 ,$3K
Clothing,USA,1840,4/27/23,528,No,1,Next Day,25.00%,$52.50 ,$61 ,9,0,$32.40 ,$0K
Clothing,USA,6051,11/12/23,768,No,1,Next Day,7.00%,$270.90 ,$164 ,3,1,$11.00 ,$1K
Clothing,USA,1531,2/8/23,247,No,1,Next Day,22.00%,$917.80 ,$723 ,5,5,$2.50 ,$4K
Clothing,USA,3130,7/2/23,12,No,2,Next Day,23.00%,$381.10 ,$231 ,3,2,$22.00 ,$1K
Clothing,USA,6696,5/9/23,841,No,2,Next Day,30.00%,$820.40 ,$512 ,4,2,$18.80 ,$2K
Clothing,USA,9854,5/3/23,835,No,2,Next Day,9.00%,$860.20 ,$401 ,3,4,$29.90 ,$2K
Clothing,USA,1158,9/3/23,102,No,3,Next Day,39.00%,$610.10 ,$832 ,9,0,$5.30 ,$3K
Clothing,USA,4145,12/9/23,210,No,4,Next Day,28.00%,$671.60 ,$132 ,1,0,$40.50 ,$0K
Clothing,USA,5985,4/24/23,958,No,4,Next Day,12.00%,$161.00 ,$94 ,4,2,$47.10 ,$1K
Clothing,USA,4419,12/13/23,332,No,4,Next Day,5.00%,$686.50 ,$676 ,4,3,$9.40 ,$3K
Clothing,USA,4280,3/16/23,839,No,4,Next Day,24.00%,$427.10 ,$193 ,4,3,$23.60 ,$1K
Clothing,USA,3551,10/25/23,881,No,4,Next Day,11.00%,$654.70 ,$541 ,4,4,$49.90 ,$2K
Clothing,USA,6375,12/25/23,612,No,5,Next Day,16.00%,$412.20 ,$696 ,8,4,$31.70 ,$3K
Clothing,USA,2414,8/15/23,319,No,5,Next Day,6.00%,$795.70 ,$471 ,6,5,$30.20 ,$4K
Electronics,Canada,5335,2/23/23,561,No,1,Next Day,36.00%,$767.80 ,$708 ,6,1,$36.40 ,$3K
Electronics,Canada,4626,8/27/23,346,No,2,Next Day,31.00%,$653.00 ,$282 ,4,3,$25.60 ,$2K
Electronics,Canada,3636,9/13/23,107,No,2,Next Day,31.00%,$584.30 ,$454 ,4,5,$13.50 ,$2K
Electronics,Canada,8651,11/3/23,172,No,3,Next Day,38.00%,$455.50 ,$679 ,10,0,$30.40 ,$3K
Electronics,Canada,7922,1/27/23,199,No,3,Next Day,40.00%,$643.70 ,$486 ,10,3,$43.80 ,$4K
Electronics,Canada,1510,12/24/23,635,No,4,Next Day,32.00%,$808.10 ,$240 ,2,2,$11.60 ,$1K
Electronics,Canada,8175,9/9/23,945,No,4,Next Day,34.00%,$891.30 ,$122 ,1,4,$23.30 ,$1K
Electronics,Canada,4104,4/6/23,220,No,4,Next Day,36.00%,$88.40 ,$29 ,3,5,$5.90 ,$0K
Electronics,Canada,2253,12/28/23,731,No,5,Next Day,25.00%,$764.00 ,$547 ,7,3,$21.60 ,$4K
Electronics,Canada,6771,1/13/23,338,No,5,Next Day,11.00%,$772.50 ,$80 ,1,4,$46.70 ,$1K
Electronics,Canada,3540,3/4/23,161,No,5,Next Day,35.00%,$606.80 ,$112 ,2,4,$32.70 ,$1K
Electronics,France,2181,2/24/23,208,No,1,Next Day,32.00%,$599.50 ,$267 ,3,1,$22.00 ,$1K
Electronics,France,8948,11/15/23,818,No,1,Next Day,6.00%,$622.10 ,$629 ,10,1,$2.60 ,$6K
Electronics,France,2376,2/16/23,701,No,1,Next Day,16.00%,$461.10 ,$163 ,3,4,$47.60 ,$1K
Electronics,France,6758,12/28/23,942,No,1,Next Day,19.00%,$482.60 ,$586 ,7,5,$37.80 ,$3K
Electronics,France,5703,5/28/23,982,No,2,Next Day,32.00%,$702.10 ,$263 ,2,1,$13.80 ,$1K
Electronics,France,9324,2/23/23,542,No,2,Next Day,28.00%,$677.20 ,$309 ,4,2,$31.10 ,$2K
Electronics,France,4693,10/5/23,171,No,3,Next Day,9.00%,$348.60 ,$416 ,7,2,$15.50 ,$2K
Electronics,France,4982,7/21/23,140,No,3,Next Day,34.00%,$607.50 ,$115 ,1,5,$14.00 ,$0K
Electronics,France,3083,4/6/23,612,No,3,Next Day,37.00%,$626.80 ,$219 ,4,5,$47.60 ,$2K
Electronics,France,4711,8/13/23,890,No,4,Next Day,15.00%,$548.70 ,$474 ,6,0,$7.10 ,$3K
Electronics,France,8980,7/25/23,659,No,4,Next Day,10.00%,$800.00 ,$235 ,2,1,$37.90 ,$1K
Electronics,France,7576,10/20/23,859,No,4,Next Day,20.00%,$845.20 ,$376 ,4,2,$48.40 ,$3K
Electronics,France,1538,3/1/23,731,No,4,Next Day,25.00%,$420.60 ,$491 ,8,3,$3.60 ,$3K
Electronics,France,5826,4/27/23,870,No,4,Next Day,15.00%,$206.20 ,$214 ,6,4,$20.40 ,$1K
Electronics,France,3480,11/11/23,88,No,5,Next Day,25.00%,$498.50 ,$423 ,5,2,$25.00 ,$2K
Electronics,France,3290,12/18/23,197,No,5,Next Day,31.00%,$769.00 ,$504 ,4,4,$48.60 ,$2K
Electronics,France,7921,7/6/23,458,No,5,Next Day,11.00%,$449.30 ,$788 ,9,4,$16.10 ,$4K
Electronics,Germany,1288,2/9/23,780,No,1,Next Day,21.00%,$462.70 ,$263 ,5,0,$8.40 ,$2K
Electronics,Germany,3219,11/25/23,287,No,1,Next Day,6.00%,$934.60 ,"$2,007 ",9,1,$13.30 ,$8K
Electronics,Germany,7327,7/11/23,765,No,1,Next Day,36.00%,$961.40 ,$693 ,10,4,$48.10 ,$6K
Electronics,Germany,9101,6/3/23,170,No,1,Next Day,20.00%,$597.30 ,$191 ,2,5,$8.30 ,$1K
Electronics,Germany,1712,10/10/23,354,No,2,Next Day,20.00%,$984.60 ,$219 ,1,3,$36.40 ,$1K
Electronics,Germany,7589,11/27/23,643,No,2,Next Day,37.00%,$379.60 ,$626 ,9,3,$34.70 ,$2K
Electronics,Germany,5921,7/26/23,989,No,3,Next Day,10.00%,$159.10 ,$213 ,7,0,$36.80 ,$1K
Electronics,Germany,7175,12/26/23,511,No,3,Next Day,8.00%,$275.70 ,$84 ,3,2,$18.20 ,$1K
Electronics,Germany,3804,4/23/23,589,No,3,Next Day,39.00%,$505.40 ,$69 ,1,4,$6.60 ,$0K
Electronics,Germany,5561,6/27/23,927,No,3,Next Day,39.00%,$109.80 ,$25 ,2,4,$35.70 ,$0K
Electronics,Germany,9906,2/18/23,635,No,4,Next Day,6.00%,$174.50 ,$300 ,7,5,$13.50 ,$1K
Electronics,Germany,4947,12/11/23,270,No,5,Next Day,22.00%,$375.90 ,$251 ,6,2,$36.50 ,$2K
Electronics,UK,7614,10/27/23,992,No,1,Next Day,39.00%,$44.80 ,$8 ,1,1,$20.30 ,$0K
Electronics,UK,1915,10/9/23,470,No,1,Next Day,19.00%,$389.90 ,$262 ,7,2,$11.40 ,$2K
Electronics,UK,3521,3/3/23,831,No,1,Next Day,17.00%,$694.00 ,$831 ,7,5,$41.20 ,$4K
Electronics,UK,5195,6/5/23,542,No,2,Next Day,22.00%,$950.80 ,$884 ,5,0,$11.90 ,$4K
Electronics,UK,8852,2/3/23,495,No,2,Next Day,22.00%,$535.30 ,$538 ,10,1,$37.20 ,$4K
Electronics,UK,5294,9/28/23,189,No,3,Next Day,16.00%,$551.20 ,$106 ,1,1,$11.90 ,$0K
Electronics,UK,4791,4/4/23,660,No,3,Next Day,16.00%,$622.30 ,$680 ,8,2,$29.00 ,$4K
Electronics,UK,2164,11/2/23,522,No,3,Next Day,5.00%,$256.10 ,$292 ,6,3,$24.80 ,$1K
Electronics,UK,2417,3/25/23,698,No,3,Next Day,28.00%,$645.90 ,$161 ,2,4,$31.10 ,$1K
Electronics,UK,7132,1/27/23,901,No,4,Next Day,20.00%,$233.80 ,$220 ,9,0,$36.40 ,$2K
Electronics,UK,5033,6/27/23,41,No,4,Next Day,35.00%,$870.60 ,$159 ,2,2,$6.20 ,$1K
Electronics,UK,1202,8/4/23,46,No,4,Next Day,22.00%,$70.70 ,$133 ,9,4,$45.00 ,$0K
Electronics,UK,9372,8/17/23,223,No,4,Next Day,24.00%,$50.40 ,$54 ,9,4,$32.10 ,$0K
Electronics,UK,3338,10/23/23,646,No,5,Next Day,28.00%,$713.30 ,$498 ,4,2,$29.80 ,$2K
Electronics,UK,3500,4/16/23,597,No,5,Next Day,21.00%,$454.40 ,$687 ,9,4,$21.90 ,$3K
Electronics,UK,2367,11/18/23,735,No,5,Next Day,13.00%,$300.80 ,$388 ,10,4,$37.80 ,$3K
Electronics,UK,8279,1/11/23,308,No,5,Next Day,29.00%,$236.30 ,$360 ,9,5,$8.80 ,$2K
Electronics,USA,5952,11/24/23,342,No,1,Next Day,21.00%,$579.10 ,$782 ,6,2,$5.40 ,$3K
Electronics,USA,9710,3/11/23,203,No,1,Next Day,20.00%,$996.00 ,$100 ,1,5,$15.00 ,$1K
Electronics,USA,1869,1/27/23,521,No,1,Next Day,40.00%,$735.90 ,$183 ,2,5,$14.80 ,$1K
Electronics,USA,3184,9/4/23,420,No,1,Next Day,17.00%,$191.10 ,$315 ,8,5,$29.40 ,$1K
Electronics,USA,1104,5/7/23,787,No,2,Next Day,15.00%,$768.70 ,$589 ,4,0,$15.40 ,$3K
Electronics,USA,1286,5/4/23,700,No,2,Next Day,22.00%,$44.90 ,$23 ,3,2,$5.80 ,$0K
Electronics,USA,1501,7/9/23,278,No,2,Next Day,36.00%,$413.50 ,$365 ,9,5,$38.30 ,$2K
Electronics,USA,5597,11/1/23,605,No,3,Next Day,26.00%,$473.30 ,$728 ,8,0,$43.40 ,$3K
Electronics,USA,6790,5/15/23,471,No,3,Next Day,20.00%,$349.90 ,$251 ,4,1,$11.00 ,$1K
Electronics,USA,3050,1/13/23,767,No,3,Next Day,14.00%,$522.70 ,$267 ,3,2,$36.30 ,$1K
Electronics,USA,3996,4/2/23,336,No,3,Next Day,15.00%,$259.50 ,$52 ,1,3,$44.50 ,$0K
Electronics,USA,7139,1/2/23,285,No,3,Next Day,34.00%,$612.50 ,$310 ,5,5,$6.20 ,$2K
Electronics,USA,3409,12/28/23,961,No,4,Next Day,26.00%,$140.80 ,$16 ,1,1,$8.60 ,$0K
Electronics,USA,3616,3/23/23,148,No,4,Next Day,11.00%,$135.30 ,$153 ,6,1,$26.30 ,$1K
Electronics,USA,3587,2/20/23,964,No,4,Next Day,24.00%,$826.50 ,$142 ,1,2,$41.80 ,$1K
Electronics,USA,1692,7/11/23,742,No,4,Next Day,39.00%,$16.10 ,$19 ,8,5,$39.90 ,$0K
Electronics,USA,6694,4/16/23,777,No,5,Next Day,11.00%,$219.20 ,$110 ,3,0,$37.20 ,$1K
Electronics,USA,7181,7/7/23,981,No,5,Next Day,7.00%,$479.30 ,$281 ,5,1,$25.70 ,$2K
Electronics,USA,2218,8/7/23,490,No,5,Next Day,7.00%,$899.00 ,$369 ,2,2,$13.20 ,$2K
Electronics,USA,2093,5/14/23,396,No,5,Next Day,38.00%,$462.10 ,$465 ,8,4,$35.80 ,$2K
Home,Canada,4937,9/15/23,655,No,1,Next Day,10.00%,$960.00 ,$617 ,5,5,$38.40 ,$4K
Home,Canada,9957,10/26/23,314,No,2,Next Day,20.00%,$484.40 ,$238 ,3,2,$17.50 ,$1K
Home,Canada,2942,10/18/23,87,No,2,Next Day,17.00%,$699.60 ,"$1,084 ",7,2,$42.50 ,$4K
Home,Canada,5629,4/21/23,850,No,2,Next Day,18.00%,$133.00 ,$129 ,8,2,$29.50 ,$1K
Home,Canada,7499,10/9/23,725,No,2,Next Day,15.00%,$200.30 ,$323 ,9,5,$30.60 ,$2K
Home,Canada,8250,11/18/23,363,No,3,Next Day,12.00%,$977.30 ,$88 ,1,0,$26.40 ,$1K
Home,Canada,9796,5/27/23,526,No,3,Next Day,21.00%,$519.50 ,$76 ,1,2,$3.50 ,$0K
Home,Canada,7186,7/25/23,458,No,3,Next Day,34.00%,$614.50 ,$587 ,5,4,$35.10 ,$2K
Home,Canada,8797,11/20/23,242,No,4,Next Day,21.00%,$306.80 ,$499 ,10,1,$17.90 ,$2K
Home,Canada,3451,5/20/23,814,No,4,Next Day,11.00%,$632.40 ,"$1,000 ",6,2,$46.70 ,$3K
Home,Canada,7451,5/22/23,958,No,4,Next Day,21.00%,$73.30 ,$97 ,8,2,$7.60 ,$0K
Home,Canada,8844,5/1/23,97,No,5,Next Day,9.00%,$921.90 ,$353 ,2,2,$6.80 ,$2K
Home,Canada,9994,4/2/23,258,No,5,Next Day,16.00%,$179.20 ,$177 ,7,3,$32.70 ,$1K
Home,Canada,1825,1/19/23,657,No,5,Next Day,12.00%,$278.80 ,$291 ,9,3,$7.90 ,$2K
Home,Canada,2530,3/6/23,326,No,5,Next Day,9.00%,$72.30 ,$30 ,4,4,$13.00 ,$0K
Home,Canada,7714,2/20/23,870,No,5,Next Day,15.00%,$616.60 ,$663 ,9,4,$36.80 ,$5K
Home,Canada,3899,3/8/23,579,No,5,Next Day,30.00%,$593.50 ,$173 ,4,5,$43.30 ,$2K
Home,Canada,9175,2/25/23,334,No,5,Next Day,29.00%,$751.90 ,$959 ,9,5,$40.50 ,$5K
Home,France,3334,1/20/23,851,No,1,Next Day,24.00%,$671.80 ,$231 ,4,0,$34.50 ,$2K
Home,France,3579,1/4/23,217,No,1,Next Day,31.00%,$533.30 ,$363 ,4,0,$5.30 ,$1K
Home,France,3041,2/19/23,756,No,1,Next Day,14.00%,$178.30 ,$318 ,8,0,$16.70 ,$1K
Home,France,8095,9/4/23,884,No,1,Next Day,16.00%,$157.80 ,$149 ,8,1,$6.30 ,$1K
Home,France,3204,1/12/23,638,No,1,Next Day,35.00%,$817.60 ,$406 ,3,2,$16.70 ,$2K
Home,France,3184,8/24/23,985,No,2,Next Day,22.00%,$847.30 ,$695 ,4,1,$16.60 ,$3K
Home,France,5163,11/17/23,236,No,2,Next Day,15.00%,$112.70 ,$57 ,3,2,$12.50 ,$0K
Home,France,5456,8/26/23,612,No,2,Next Day,34.00%,$527.40 ,$330 ,8,3,$20.90 ,$3K
Home,France,2246,6/11/23,499,No,4,Next Day,33.00%,$306.90 ,$182 ,3,0,$43.90 ,$1K
Home,France,9862,11/28/23,971,No,4,Next Day,20.00%,$409.60 ,$319 ,7,1,$17.50 ,$2K
Home,France,6703,4/2/23,262,No,4,Next Day,6.00%,$488.90 ,$132 ,2,2,$37.10 ,$1K
Home,Germany,8089,6/7/23,565,No,1,Next Day,29.00%,$360.70 ,$137 ,2,0,$38.30 ,$1K
Home,Germany,9415,1/14/23,539,No,1,Next Day,28.00%,$184.00 ,$355 ,9,0,$39.40 ,$1K
Home,Germany,8985,1/2/23,672,No,1,Next Day,16.00%,$21.00 ,$29 ,10,0,$14.70 ,$0K
Home,Germany,5351,5/15/23,947,No,1,Next Day,7.00%,$380.70 ,$374 ,9,1,$5.50 ,$3K
Home,Germany,3848,10/25/23,132,No,1,Next Day,31.00%,$532.70 ,$49 ,1,2,$22.20 ,$0K
Home,Germany,2073,2/23/23,840,No,1,Next Day,18.00%,$120.00 ,$71 ,7,2,$43.40 ,$1K
Home,Germany,7109,9/7/23,422,No,1,Next Day,8.00%,$471.70 ,"$1,157 ",10,2,$5.20 ,$4K
Home,Germany,3706,2/4/23,933,No,1,Next Day,15.00%,$717.60 ,$92 ,1,3,$8.70 ,$1K
Home,Germany,8999,12/26/23,851,No,1,Next Day,20.00%,$502.40 ,$277 ,4,3,$30.40 ,$2K
Home,Germany,6996,3/19/23,31,No,1,Next Day,6.00%,$570.80 ,$329 ,3,5,$10.40 ,$2K
Home,Germany,4770,8/5/23,802,No,2,Next Day,14.00%,$754.90 ,$465 ,4,0,$44.10 ,$3K
Home,Germany,1186,10/11/23,926,No,2,Next Day,39.00%,$776.80 ,$439 ,5,2,$9.10 ,$2K
Home,Germany,9552,12/18/23,914,No,3,Next Day,21.00%,$869.60 ,"$1,464 ",10,0,$42.40 ,$7K
Home,Germany,3189,8/28/23,245,No,3,Next Day,32.00%,$355.30 ,$70 ,1,2,$27.80 ,$0K
Home,Germany,3869,3/19/23,928,No,3,Next Day,34.00%,$786.60 ,$226 ,2,5,$11.40 ,$1K
Home,Germany,4032,10/27/23,145,No,4,Next Day,5.00%,$457.90 ,$263 ,3,3,$22.30 ,$1K
Home,Germany,5577,11/27/23,205,No,4,Next Day,31.00%,$361.70 ,$56 ,1,5,$46.00 ,$0K
Home,Germany,9503,8/19/23,672,No,5,Next Day,13.00%,$570.70 ,$81 ,1,0,$45.20 ,$0K
Home,Germany,6308,6/22/23,960,No,5,Next Day,13.00%,$579.20 ,$452 ,3,0,$29.10 ,$2K
Home,Germany,3423,1/16/23,736,No,5,Next Day,26.00%,$989.60 ,"$1,289 ",8,0,$48.80 ,$6K
Home,Germany,7201,11/7/23,315,No,5,Next Day,32.00%,$146.30 ,$56 ,2,1,$29.50 ,$0K
Home,Germany,3855,5/10/23,118,No,5,Next Day,13.00%,$806.40 ,"$1,697 ",10,1,$16.70 ,$7K
Home,Germany,2071,6/8/23,18,No,5,Next Day,10.00%,$700.40 ,$884 ,5,4,$25.20 ,$3K
Home,Germany,8050,11/1/23,887,No,5,Next Day,26.00%,$908.70 ,$750 ,4,5,$28.40 ,$3K
Home,Germany,6911,5/8/23,471,No,5,Next Day,36.00%,$660.30 ,$369 ,5,5,$6.50 ,$2K
Home,UK,7356,6/20/23,412,No,1,Next Day,19.00%,$725.30 ,$518 ,5,0,$43.40 ,$3K
Home,UK,4779,4/25/23,370,No,2,Next Day,33.00%,$622.20 ,$509 ,6,5,$38.20 ,$3K
Home,UK,1483,1/18/23,441,No,2,Next Day,6.00%,$309.70 ,$330 ,7,5,$47.10 ,$2K
Home,UK,6698,7/13/23,756,No,3,Next Day,11.00%,$439.80 ,$383 ,5,0,$3.90 ,$2K
Home,UK,9678,4/24/23,293,No,3,Next Day,17.00%,$143.80 ,$133 ,10,2,$44.40 ,$1K
Home,UK,5847,9/1/23,242,No,4,Next Day,21.00%,$694.60 ,"$1,131 ",10,5,$31.50 ,$5K
Home,UK,1844,2/27/23,210,No,5,Next Day,24.00%,$965.20 ,$484 ,3,2,$18.20 ,$2K
Home,UK,6645,6/21/23,409,No,5,Next Day,12.00%,$147.80 ,$68 ,4,2,$43.00 ,$1K
Home,USA,4287,3/12/23,733,No,1,Next Day,39.00%,$660.60 ,$168 ,2,1,$22.90 ,$1K
Home,USA,6798,4/8/23,860,No,1,Next Day,16.00%,$767.50 ,$727 ,6,3,$6.90 ,$4K
Home,USA,7120,1/22/23,945,No,2,Next Day,19.00%,$524.00 ,$189 ,2,2,$22.10 ,$1K
Home,USA,6240,1/27/23,880,No,2,Next Day,24.00%,$511.80 ,$206 ,2,3,$16.40 ,$1K
Home,USA,2145,9/23/23,632,No,2,Next Day,22.00%,$202.40 ,$260 ,10,4,$47.80 ,$2K
Home,USA,7530,1/2/23,903,No,3,Next Day,37.00%,$554.70 ,$452 ,10,0,$43.90 ,$3K
Home,USA,3643,10/21/23,823,No,3,Next Day,30.00%,$929.40 ,$334 ,5,1,$17.70 ,$3K
Home,USA,6699,12/6/23,242,No,3,Next Day,20.00%,$467.90 ,$398 ,9,3,$3.70 ,$3K
Home,USA,4186,5/3/23,462,No,4,Next Day,14.00%,$125.20 ,$20 ,1,3,$38.10 ,$0K
Home,USA,7903,2/25/23,56,No,4,Next Day,6.00%,$733.70 ,"$1,220 ",6,3,$27.30 ,$4K
Home,USA,1782,3/28/23,253,No,4,Next Day,5.00%,$95.00 ,$84 ,4,4,$8.20 ,$0K
Home,USA,2761,4/5/23,803,No,5,Next Day,33.00%,$40.70 ,$30 ,5,3,$29.60 ,$0K
Home,USA,2437,6/21/23,332,No,5,Next Day,39.00%,$960.20 ,$63 ,1,5,$24.80 ,$1K
Sports,Canada,4356,11/10/23,776,No,1,Next Day,21.00%,$55.80 ,$31 ,6,1,$31.20 ,$0K
Sports,Canada,4099,11/13/23,576,No,1,Next Day,40.00%,$474.10 ,$331 ,8,2,$40.00 ,$2K
Sports,Canada,4317,10/6/23,690,No,1,Next Day,31.00%,$758.10 ,$364 ,6,4,$48.70 ,$3K
Sports,Canada,7438,9/5/23,511,No,3,Next Day,34.00%,$468.90 ,$432 ,10,1,$5.90 ,$3K
Sports,Canada,7690,12/8/23,34,No,3,Next Day,28.00%,$734.00 ,$541 ,4,5,$15.10 ,$2K
Sports,Canada,5797,6/23/23,390,No,4,Next Day,24.00%,$152.40 ,$310 ,9,4,$39.70 ,$1K
Sports,Canada,2206,2/15/23,875,No,4,Next Day,8.00%,$580.70 ,$871 ,8,5,$13.10 ,$4K
Sports,Canada,2393,2/4/23,514,No,4,Next Day,10.00%,$95.90 ,$193 ,9,5,$9.60 ,$1K
Sports,Canada,4819,1/22/23,852,No,5,Next Day,38.00%,$464.30 ,$207 ,3,4,$11.60 ,$1K
Sports,Canada,5547,5/4/23,571,No,5,Next Day,10.00%,$780.40 ,$735 ,4,4,$38.90 ,$3K
Sports,Canada,6457,9/26/23,596,No,5,Next Day,32.00%,$440.70 ,$165 ,4,4,$24.40 ,$1K
Sports,Canada,6230,4/23/23,981,No,5,Next Day,26.00%,$790.40 ,"$1,080 ",7,5,$44.30 ,$4K
Sports,Canada,5473,10/12/23,863,No,5,Next Day,10.00%,$857.00 ,"$1,622 ",9,5,$29.40 ,$7K
Sports,France,6836,5/17/23,714,No,1,Next Day,27.00%,$118.50 ,$72 ,4,0,$16.10 ,$0K
Sports,France,3231,1/28/23,369,No,1,Next Day,39.00%,$824.60 ,$208 ,2,4,$34.10 ,$1K
Sports,France,9808,9/3/23,874,No,2,Next Day,14.00%,$471.50 ,$372 ,7,0,$22.50 ,$3K
Sports,France,7855,5/8/23,753,No,2,Next Day,22.00%,$631.90 ,$159 ,3,1,$4.40 ,$1K
Sports,France,3389,6/17/23,257,No,3,Next Day,17.00%,$13.60 ,$25 ,8,0,$46.60 ,$0K
Sports,France,3873,4/15/23,435,No,3,Next Day,32.00%,$900.50 ,$305 ,3,1,$41.30 ,$2K
Sports,France,5469,7/5/23,593,No,3,Next Day,27.00%,$995.00 ,"$1,083 ",9,5,$38.10 ,$7K
Sports,France,4714,7/25/23,317,No,4,Next Day,23.00%,$617.30 ,$398 ,6,0,$44.30 ,$3K
Sports,France,1621,5/18/23,569,No,4,Next Day,28.00%,$723.70 ,$263 ,2,1,$40.70 ,$1K
Sports,France,6794,10/9/23,704,No,4,Next Day,19.00%,$456.10 ,$485 ,9,1,$4.90 ,$3K
